127.0.0.1, 2015-06-22 12:48:25, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.082178
127.0.0.1, 2015-06-22 12:48:47, GET, /, HTTP/1.1, 303, 0.003235
127.0.0.1, 2015-06-22 12:48:48, GET, /welcome/default/index, HTTP/1.1, 200, 0.972780
127.0.0.1, 2015-06-22 12:48:57, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.396213
127.0.0.1, 2015-06-22 12:49:17, GET, /calculando_backend/leaderboard/index, HTTP/1.1, 200, 0.220000
127.0.0.1, 2015-06-22 12:49:17, GET, /calculando_backend/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000932
127.0.0.1, 2015-06-22 12:49:17, GET, /calculando_backend/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.001638
127.0.0.1, 2015-06-22 12:49:17, GET, /calculando_backend/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000873
127.0.0.1, 2015-06-22 12:49:17, GET, /calculando_backend/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002356
127.0.0.1, 2015-06-22 12:49:17, GET, /calculando_backend/static/js/calendar.js, HTTP/1.1, 200, 0.002524
127.0.0.1, 2015-06-22 12:49:17, GET, /calculando_backend/static/css/calendar.css, HTTP/1.1, 200, 0.002496
